S.No,Name of States,Castes/Tribes - Scheduled Castes,Castes/Tribes - Scheduled Tribes,Castes/Tribes - others backward classes,Castes/Tribes - others
1,Andhra Pradesh,94.1,79.2,95.3,97.5
2,Haryana,87.8,82.2,91.1,95.2
3,Karnataka,88.2,87.4,93.6,95.7
4,Kerala,99.5,100,99.9,99.7
5,Maharashtra,96.5,90,97.3,96.6
6,Punjab,96.2,97,96.1,98.3
7,Tamil Nadu,98.9,99,99.1,98.7
8,Telangana,96.6,91.7,96.9,97.7
9,West Bengal,85.1,71.7,79.7,83.3
10,Arunachal Pradesh,73,49.7,68.3,55.5
11,Goa,NA,100,100,98.6
12,Himachal Pradesh,92.9,91.9,97,92.8
13,Manipur,85.9,54.5,83,87.4
14,Meghalaya,86.8,68.6,76.9,82.9
15,Mizoram,96.9,80.1,87.1,48.1
16,Nagaland,62.4,45.3,58.5,73.1
17,Sikkim,82.3,83.9,86.3,86.6
18,Tripura,85.6,57.8,82.9,86.2
